Subdomain,IP,SOA-Primary-NS
manua.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
kprasad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
labs.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
phd2010.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
btech2010.iitgn.ac.in,72.1.241.142,dnsm.iitgn.ac.in.
initiatives.iitgn.ac.in,192.185.129.4,dnsm.iitgn.ac.in.
cpcalendars.viru.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.chandanmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.sameer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.babji.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.monamehta.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sharad.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sudhir.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.admin.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.support.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.rupak.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.sameer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.amrutiya.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcontacts.vmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
www.nihar.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.vineet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webmail.ftpsrv17.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
support.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpanel.ramesh.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.vmishra.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
phoenix.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.surjeet.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
imsstaging.iitgn.ac.in,14.139.98.53,dnsm.iitgn.ac.in.
cpcalendars.sudiptas.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
mail.sameer.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
repository.iitgn.ac.in,14.139.98.40,dnsm.iitgn.ac.in.
cpcalendars.arnapurna.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.manishk.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.krjp.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
webdisk.amrutiya.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
cpcalendars.barath.people.iitgn.ac.in,204.15.132.106,dnsm.iitgn.ac.in.
