Subdomain,IP
cpcontacts.shanmuga.people.iitgn.ac.in,204.15.132.106
barath.people.iitgn.ac.in,204.15.132.106
cpcalendars.chetan.people.iitgn.ac.in,204.15.132.106
cpcontacts.ramesh.people.iitgn.ac.in,204.15.132.106
cpcontacts.bireswar.people.iitgn.ac.in,204.15.132.106
cpcontacts.naran.people.iitgn.ac.in,204.15.132.106
cpcontacts.hegder.people.iitgn.ac.in,204.15.132.106
webmail.sudiptas.people.iitgn.ac.in,204.15.132.106
cpcontacts.sudiptas.people.iitgn.ac.in,204.15.132.106
cpcontacts.kprasad.people.iitgn.ac.in,204.15.132.106
cpcontacts.sjolad.people.iitgn.ac.in,204.15.132.106
cpcontacts.nihar.people.iitgn.ac.in,204.15.132.106
cpcalendars.pedropombo.people.iitgn.ac.in,204.15.132.106
che.iitgn.ac.in,192.185.129.4
campus.iitgn.ac.in,72.1.241.142
cpcontacts.ssharma.people.iitgn.ac.in,204.15.132.106
lstudio.iitgn.ac.in,14.139.98.215
cpanel.vijay.people.iitgn.ac.in,204.15.132.106
www.kabeer.people.iitgn.ac.in,204.15.132.106
cpcalendars.demo.people.iitgn.ac.in,204.15.132.106
webdisk.nitin.people.iitgn.ac.in,204.15.132.106
cpcalendars.mkumar.people.iitgn.ac.in,204.15.132.106
cpcalendars.ftpsrv17.people.iitgn.ac.in,204.15.132.106
cpcalendars.emila.people.iitgn.ac.in,204.15.132.106
biomed.iitgn.ac.in,72.1.241.142
bireswar.people.iitgn.ac.in,204.15.132.106
www.chandanmishra.people.iitgn.ac.in,204.15.132.106
www.sjolad.people.iitgn.ac.in,204.15.132.106
www.surjeet.people.iitgn.ac.in,204.15.132.106
www.naran.people.iitgn.ac.in,204.15.132.106
cpanel.ssharma.people.iitgn.ac.in,204.15.132.106
iitgn.ac.in,72.1.241.188
www.support.people.iitgn.ac.in,204.15.132.106
tech2impact.iitgn.ac.in,192.185.129.4
cpanel.mkumar.people.iitgn.ac.in,204.15.132.106
www.emila.people.iitgn.ac.in,204.15.132.106
cpanel.barath.people.iitgn.ac.in,204.15.132.106
www.sriram.people.iitgn.ac.in,204.15.132.106
www.ssharma.people.iitgn.ac.in,204.15.132.106
mail.joycee.people.iitgn.ac.in,204.15.132.106
mail.sharad.people.iitgn.ac.in,204.15.132.106
mail.sjolad.people.iitgn.ac.in,204.15.132.106
mail.hegder.people.iitgn.ac.in,204.15.132.106
mail.chetan.people.iitgn.ac.in,204.15.132.106
cpcalendars.sairam.people.iitgn.ac.in,204.15.132.106
