Domain,Total Packets,Total Bytes,Total DNS Packets,Total DNS Bytes,Total Time,Total DNS Time,TTFB
'ntp.org.',15,10180,4,384,0.5978760719299316,0.03851795196533203,8.511543273925781e-05
'www.ntp.org.',40,10565,4,416,2.6601269245147705,0.010304927825927734,4.1961669921875e-05
'cse.google.com.',25,19181,4,410,0.40880489349365234,0.008327007293701172,4.696846008300781e-05
'nwtime.org.',30,13072,4,446,1.4332869052886963,0.009731769561767578,6.389617919921875e-05
'office.com.',26,8426,4,382,0.09662199020385742,0.02496194839477539,4.887580871582031e-05
'www.office.com.',28,9226,4,815,0.14710187911987305,0.0552668571472168,7.486343383789062e-05
'res.cdn.office.net.',177,305603,4,1050,7.2808520793914795,0.22244596481323242,7.200241088867188e-05
'office.net.',4,280,4,280,0.031942129135131836,0.031942129135131836,8.797645568847656e-05
'office365.com.',16,1554,4,432,0.5627799034118652,0.05915093421936035,0.00010895729064941406
'one.one.',13,1278,4,419,1.5520031452178955,1.1431620121002197,0.00017404556274414062
'www.one.com.',83,227077,4,455,1.8212718963623047,0.011034965515136719,4.696846008300781e-05
'www-static.cdn-one.com.',332,1124667,4,642,8.844331979751587,0.017843008041381836,5.2928924560546875e-05
'openx.net.',14,2123,4,400,0.08024287223815918,0.029000043869018555,7.605552673339844e-05
'ssl-i.cdn.openx.com.',33,3022,8,796,0.11942100524902344,0.01433706283569336,4.8160552978515625e-05
'opera.com.',31,6539,8,800,0.934777021408081,0.22313594818115234,8.893013000488281e-05
'www.opera.com.',24,6963,4,746,0.5478520393371582,0.02072906494140625,5.1975250244140625e-05
'cdn-production-opera-website.operacdn.com.',424,1352348,4,1010,5.904209852218628,0.026460886001586914,3.886222839355469e-05
'dc.ads.linkedin.com.',29,9262,4,991,0.40885496139526367,0.02993297576904297,3.910064697265625e-05
'outbrain.com.',16,1269,4,356,0.5829460620880127,0.06394124031066895,0.00010418891906738281
'www.outbrain.com.',1154,10725681,12,1820,22.1503689289093,0.10021138191223145,4.076957702636719e-05
'use.typekit.net.',258,1725167,4,756,0.9092600345611572,0.0269930362701416,4.00543212890625e-05
'fast.wistia.com.',25,13726,4,829,0.2654850482940674,0.018873214721679688,4.9114227294921875e-05
'p.typekit.net.',24,8072,4,750,0.11988306045532227,0.025158166885375977,4.00543212890625e-05
'outlook.com.',42,9999,8,1756,1.8276541233062744,0.09788894653320312,5.602836608886719e-05
'www.outlook.com.',24,7559,4,784,1.5777299404144287,0.41818809509277344,1.5020370483398438e-05
'pangle.io.',6,384,4,276,0.3673889636993408,0.1312580108642578,0.00011301040649414062
'pki.goog.',75,244174,4,368,0.25821518898010254,0.009133100509643555,5.1975250244140625e-05
'playstation.net.',6,408,4,300,0.09418511390686035,0.08085322380065918,9.703636169433594e-05
'pubmatic.com.',262,1139340,4,356,9.458964824676514,0.008210897445678711,4.792213439941406e-05
'analytics.twitter.com.',24,6978,4,490,0.5185849666595459,0.023247957229614258,4.506111145019531e-05
't.co.',24,7107,4,308,0.3514900207519531,0.029036998748779297,4.506111145019531e-05
'px.ads.linkedin.com.',28,8718,4,549,0.5926330089569092,0.030566930770874023,2.9802322387695312e-05
'player.vimeo.com.',31,10457,4,662,0.3798220157623291,0.00425410270690918,4.601478576660156e-05
'oag.ca.gov.',24,7995,4,344,1.0692369937896729,0.008439064025878906,4.506111145019531e-05
'i.vimeocdn.com.',24,9134,4,728,0.11047506332397461,0.037116050720214844,4.506111145019531e-05
'qlivecdn.com.',6,396,4,288,0.12107300758361816,0.11422204971313477,0.00010800361633300781
'qq.com.',33,2876,4,432,20.414608001708984,0.2444629669189453,8.392333984375e-05
'quantserve.com.',38,7284,8,1024,1.7118229866027832,0.10934805870056152,0.00016808509826660156
'rbxcdn.com.',4,280,4,280,0.20821690559387207,0.20821690559387207,8.106231689453125e-05
'reddit.com.',43,9792,8,1376,0.16132307052612305,0.07291007041931152,9.512901306152344e-05
'www.reddit.com.',23,8525,4,480,0.44014596939086914,0.14418697357177734,5.984306335449219e-05
'ring.com.',96,259203,8,904,4.517688989639282,0.09804821014404297,9.012222290039062e-05
'd39xvdj9d5ntm1.cloudfront.net.',60,21918,4,872,9.444751977920532,0.08859014511108398,7.915496826171875e-05
'cdn.optimizely.com.',73,304666,4,564,0.4082059860229492,0.009325981140136719,4.601478576660156e-05
'services.xg4ken.com.',26,19378,4,912,0.695706844329834,0.03912496566772461,4.482269287109375e-05
'events.xg4ken.com.',26,8757,4,716,0.9495360851287842,0.0873100757598877,4.9114227294921875e-05
's.amazon-adsystem.com.',6,664,4,556,0.02024102210998535,0.005126953125,5.1975250244140625e-05
'bs.serving-sys.com.',28,9254,4,1192,0.47340893745422363,0.40448999404907227,4.410743713378906e-05
'd2a12jsx2jznj5.cloudfront.net.',97,306971,4,872,1.9476878643035889,0.010303974151611328,5.793571472167969e-05
'videos.ctfassets.net.',131,1142621,4,656,0.22818207740783691,0.021709918975830078,5.0067901611328125e-05
'static.ring.com.',386,3186159,4,917,25.385703086853027,0.019262075424194336,4.601478576660156e-05
'rc3.ring.com.',27,9820,4,560,1.1507089138031006,0.2125530242919922,4.696846008300781e-05
'rlcdn.com.',6,384,4,276,0.301285982131958,0.28946805000305176,5.1021575927734375e-05
'roblox.com.',25,9142,4,344,0.43201589584350586,0.00925898551940918,4.291534423828125e-05
'www.roblox.com.',30,11998,4,667,0.8316059112548828,0.05113506317138672,4.100799560546875e-05
'images.rbxcdn.com.',578,2995290,4,1042,49.68911600112915,0.06670904159545898,5.412101745605469e-05
'css.rbxcdn.com.',30,19906,4,1099,1.842574119567871,0.6552469730377197,8.416175842285156e-05
'static.rbxcdn.com.',24,9478,4,1033,0.8154640197753906,0.042140960693359375,6.699562072753906e-05
'js.rbxcdn.com.',789,4970616,4,940,4.843145132064819,0.04357624053955078,3.910064697265625e-05
'rocket-cdn.com.',6,404,4,296,0.28316211700439453,0.2167501449584961,8.511543273925781e-05
'roku.com.',11,1958,4,392,0.5978291034698486,0.1093900203704834,8.916854858398438e-05
'www.roku.com.',162,1391871,4,732,1.3324627876281738,0.08011269569396973,5.984306335449219e-05
'root-servers.net.',6,412,4,304,0.09396886825561523,0.08559775352478027,0.00012087821960449219
'rubiconproject.com.',4,538,4,538,0.04557299613952637,0.04557299613952637,8.082389831542969e-05
'samsung.com.',13,1474,4,350,0.6616501808166504,0.23398518562316895,8.106231689453125e-05
'www.samsung.com.',28,10034,4,798,0.5053608417510986,0.3036940097808838,4.887580871582031e-05
'samsungcloud.com.',11,706,4,304,0.03776097297668457,0.03544902801513672,9.512901306152344e-05
'samsungcloudsolution.com.',4,336,4,336,0.04395294189453125,0.04395294189453125,0.0001327991485595703
'samsungqbe.com.',4,296,4,296,0.04151201248168945,0.04151201248168945,7.510185241699219e-05
'sc-cdn.net.',4,280,4,280,0.040728092193603516,0.040728092193603516,0.00011205673217773438
'scorecardresearch.com.',33,9578,8,820,1.6714661121368408,0.07679629325866699,8.702278137207031e-05
'www.scorecardresearch.com.',60,31283,4,434,3.6659882068634033,0.01067805290222168,5.412101745605469e-05
'sb.scorecardresearch.com.',30,8829,4,704,0.9632019996643066,0.0011219978332519531,5.888938903808594e-05
'sentry.io.',29,16847,4,338,0.36881017684936523,0.01042318344116211,4.220008850097656e-05
'plausible.io.',23,11130,4,356,1.170990228652954,0.3137221336364746,6.914138793945312e-05
'www.sentry.dev.',1387,10645975,4,440,21.78740620613098,0.01173710823059082,3.910064697265625e-05
'shalltry.com.',15,1953,4,560,1.3222639560699463,0.2849600315093994,0.00013303756713867188
'sharepoint.com.',13,1316,4,440,0.4418630599975586,0.24969100952148438,6.29425048828125e-05
'aka.office.com.',27,7739,4,616,0.49961113929748535,0.12435293197631836,1.0967254638671875e-05
'products.office.com.',27,8088,4,956,0.21592998504638672,0.0562589168548584,2.193450927734375e-05
'sharethrough.com.',43,8247,8,912,0.4552919864654541,0.035927772521972656,9.393692016601562e-05
'www.sharethrough.com.',40,50835,4,720,0.38300609588623047,0.022716999053955078,5.793571472167969e-05
'cdn.prod.website-files.com.',5878,69656781,4,644,86.98332190513611,0.0009949207305908203,0.00010895729064941406
'cdn.weglot.com.',52,146743,4,760,0.16481304168701172,0.04652905464172363,4.601478576660156e-05
'cmp.uniconsent.com.',61,243002,4,564,0.7223169803619385,0.00634002685546875,4.100799560546875e-05
'secure.kick1pore.com.',48,32356,8,1184,0.93454909324646,0.03655195236206055,5.507469177246094e-05
'assets.sharethrough.com.',245,1453662,4,957,2.0248570442199707,0.018630027770996094,0.00010609626770019531
'd3e54v103j8qbb.cloudfront.net.',31,20384,4,764,1.0386950969696045,0.010947942733764648,4.9114227294921875e-05
'skype.com.',13,1591,4,771,0.39077186584472656,0.05870413780212402,8.606910705566406e-05
'www.skype.com.',54,112967,4,725,0.7706317901611328,0.32317185401916504,4.696846008300781e-05
'js.monitor.azure.com.',68,153402,4,991,0.41835808753967285,0.028262853622436523,4.1961669921875e-05
'secure.skypeassets.com.',258,565698,4,614,14.572498083114624,0.03553915023803711,7.009506225585938e-05
'smartadserver.com.',16,1411,4,386,0.2118520736694336,0.007915019989013672,0.00013303756713867188
'equativ.com.',171,783743,4,350,4.417060136795044,0.01141810417175293,4.315376281738281e-05
'cdn1.iconfinder.com.',22,7174,4,574,0.08306598663330078,0.011377096176147461,6.008148193359375e-05
'www.iconfinder.com.',23,6896,4,564,0.1670379638671875,0.08202695846557617,4.982948303222656e-05
'snapchat.com.',36,8028,8,712,0.24539995193481445,0.07130908966064453,8.20159912109375e-05
'www.snapchat.com.',65,134308,4,616,0.9664919376373291,0.089080810546875,5.2928924560546875e-05
'static.snapchat.com.',1839,18177094,4,937,117.00600290298462,0.019574880599975586,5.602836608886719e-05
'www.google-analytics.com.',44,63162,4,622,0.15459203720092773,0.01918506622314453,4.410743713378906e-05
'spotify.com.',13,1183,4,389,0.17807316780090332,0.0205991268157959,9.918212890625e-05
'www.spotify.com.',20,6468,4,580,0.22733092308044434,0.06046891212463379,4.792213439941406e-05
'open.spotify.com.',74,189785,4,566,1.095339059829712,0.052120208740234375,5.507469177246094e-05
'open.spotifycdn.com.',450,845323,4,692,2.532545804977417,0.26056599617004395,8.988380432128906e-05
'www.googleoptimize.com.',96,200406,4,466,2.0576858520507812,0.008679866790771484,5.888938903808594e-05
'i.scdn.co.',503,716971,4,1101,6.572494029998779,0.01954483985900879,4.38690185546875e-05
'pickasso.spotifycdn.com.',393,536272,4,633,9.506937980651855,0.2644309997558594,6.008148193359375e-05
'charts-images.scdn.co.',110,202348,4,668,1.7569420337677002,0.01933598518371582,6.604194641113281e-05
'taboola.com.',14,1913,4,860,0.1400129795074463,0.10746884346008301,8.20159912109375e-05
'www.taboola.com.',61,28573,4,514,5.7284629344940186,0.07179594039916992,7.104873657226562e-05
'helpersng.taboola.com.',791,6527086,4,550,46.45211601257324,0.0228269100189209,6.103515625e-05
'taobao.com.',38,16707,8,1872,2.755842924118042,0.25481271743774414,7.200241088867188e-05
'www.taobao.com.',121,860538,4,768,5.222552061080933,2.015308141708374,5.0067901611328125e-05
'g.alicdn.com.',254,1969729,4,838,8.333827018737793,0.019359111785888672,4.410743713378906e-05
'o.alicdn.com.',54,107088,4,584,0.13953185081481934,0.03180694580078125,0.00011086463928222656
'at.alicdn.com.',76,75057,4,746,2.273332118988037,0.4339151382446289,0.0001220703125
'gw.alicdn.com.',40,17357,4,818,2.050511121749878,0.03038501739501953,5.602836608886719e-05
'img.alicdn.com.',37,14203,4,962,1.6463401317596436,1.0072412490844727,7.414817810058594e-05
'teads.tv.',13,1430,4,452,0.39667701721191406,0.008260011672973633,5.1021575927734375e-05
'cdn.teads.tv.',32,16988,4,600,2.7438879013061523,0.19041895866394043,4.696846008300781e-05
'tiktok.com.',38,8018,8,1072,0.26164817810058594,0.06781291961669922,6.699562072753906e-05
'www.tiktok.com.',74,151214,4,1085,1.4557900428771973,0.21805691719055176,5.602836608886719e-05
'sf16-website-login.neutral.ttwstatic.com.',281,1454674,4,960,1.8862881660461426,0.07598400115966797,8.0108642578125e-05
'lf16-tiktok-common.ibytedtos.com.',558,2834271,4,862,17.760689973831177,0.1340939998626709,4.38690185546875e-05
'tiktokcdn-us.com.',9,598,4,304,0.1120750904083252,0.07490825653076172,8.702278137207031e-05
'tiktokcdn.com.',4,292,4,292,0.18093204498291016,0.18093204498291016,0.00011086463928222656
'tiktokv.com.',33,8827,8,1756,0.5992028713226318,0.21507692337036133,0.000102996826171875
'tiktokv.us.',6,388,4,280,0.060426950454711914,0.05972599983215332,9.107589721679688e-05
'tp-link.com.',39,11067,8,1720,0.47301506996154785,0.051891326904296875,9.202957153320312e-05
'www.tp-link.com.',172,218940,4,760,2.5333070755004883,0.2566070556640625,7.009506225585938e-05
'static.tp-link.com.',1208,6235432,4,784,113.57874798774719,0.009979009628295898,4.792213439941406e-05
'trafficmanager.net.',6,420,4,312,0.10021305084228516,0.012588977813720703,7.605552673339844e-05
'ttlivecdn.com.',4,292,4,292,0.302825927734375,0.302825927734375,9.298324584960938e-05
'twimg.com.',4,276,4,276,0.3042471408843994,0.3042471408843994,0.0001010894775390625
'twitter.com.',33,13431,8,700,1.2137088775634766,0.06960916519165039,7.390975952148438e-05
'x.com.',39,17851,4,476,1.2320349216461182,0.06394076347351074,7.486343383789062e-05
'ubuntu.com.',23,8426,4,586,0.4600369930267334,0.012637853622436523,4.38690185546875e-05
'assets.ubuntu.com.',836,6004380,4,677,7.020534038543701,0.256756067276001,4.8160552978515625e-05
'res.cloudinary.com.',91,490542,4,824,2.142016887664795,0.021274089813232422,4.506111145019531e-05
'10451423.fls.doubleclick.net.',29,8494,4,568,0.5237109661102295,0.13835597038269043,4.100799560546875e-05
'ui.com.',357,1501748,4,760,10.761071920394897,0.009459972381591797,8.392333984375e-05
'unity3d.com.',15,1663,4,350,0.5049359798431396,0.3794722557067871,7.319450378417969e-05
'vungle.com.',30,7941,8,816,2.555277109146118,0.4436070919036865,9.202957153320312e-05
'liftoff.io.',67,257959,4,408,0.954503059387207,0.012240171432495117,2.5033950805664062e-05
